blockNumber,confirmations,Month,Day,Hour,mean_value_received,variance_value_received,total_received,time_diff_first_last_received,total_tx_sent,total_tx_sent_malicious,total_tx_sent_unique,total_tx_sent_malicious_unique,total_tx_received_malicious_unique,Fraud
13441854,6424287,10,18,12,0.3897290082206414,0.3930765574091407,10.132954213736676,2228.9499884259258,84.0,0.0,33.0,0.0,0.0,0
5216239,14649944,3,8,3,0.28375,0.0504383333333333,4.54,21.484363425925928,1.0,0.0,1.0,0.0,0.0,0
14437686,5428497,3,22,18,1.6596658336290857,29.311842570078344,101.23961585137424,1935.5427083333327,577.0,0.0,145.0,0.0,0.0,0
17382368,2483763,6,1,0,0.2438593923419018,0.65688264095427,168.75069950059606,419.5820833333333,631.0,0.0,214.0,0.0,0.0,0
17811419,2055092,7,31,7,1.8183965098008947,15.012856755331166,4995.135212423058,59.23111111111111,4845.0,0.0,1689.0,0.0,0.0,0
16298802,3567447,12,30,16,0.3594292449741254,0.8547321564749188,35.22406600746429,856.3534722222222,84.0,0.0,1.0,0.0,0.0,0
17811198,2055313,7,31,6,0.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,0.0,0
17739992,2126519,7,21,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
16585879,3280486,2,8,18,0.0249184513855184,0.0010762096719446,0.0747553541565553,10.5375,5.0,0.0,1.0,0.0,0.0,0
11893295,7972834,2,20,10,0.0,0.0,0.0,0.0,4153.0,0.0,1.0,0.0,0.0,0
16950856,2915508,4,1,0,0.09227862,0.0025875156873132,0.27683586,121.50791666666667,11.0,0.0,10.0,0.0,0.0,0
19807312,59211,5,5,23,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0
14320396,5546005,3,4,12,0.4506066455759658,1.1028146509158971,23.431545569950224,1265.0548611111112,235.0,0.0,77.0,0.0,0.0,0
17193569,2672860,5,5,9,0.0,0.0,0.0,0.0,4354.0,0.0,5.0,0.0,0.0,0
14555833,5310551,4,10,4,0.5132100592999583,0.6397083847792725,106.23448227509138,920.3028587962964,569.0,0.0,343.0,0.0,0.0,0
17756577,2109934,7,23,15,1.8183965098008947,15.012856755331166,4995.135212423058,59.23111111111111,4845.0,0.0,1689.0,0.0,0.0,0
16344179,3522199,1,6,0,1.1151111111111112,8.206338318750001,90.324,687.9482291666667,64.0,0.0,7.0,0.0,0.0,0
19053872,812351,1,21,7,3.896735904391325,101.819167885204,467.608308526959,1884.80613425926,552.0,0.0,251.0,0.0,0.0,0
17688145,2178366,7,14,0,1.8183965098008947,15.012856755331166,4995.135212423058,59.23111111111111,4845.0,0.0,1689.0,0.0,0.0,0
17213960,2652469,5,8,6,0.0,0.0,0.0,0.0,4354.0,0.0,5.0,0.0,0.0,0
17772625,2093886,7,25,20,1.8183965098008947,15.012856755331166,4995.135212423058,59.23111111111111,4845.0,0.0,1689.0,0.0,0.0,0
19380198,485929,3,7,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
17723263,2142794,7,18,23,0.034819191235899,0.0038242965374385,2.298066621569336,920.6956712962964,89.0,0.0,27.0,0.0,0.0,0
18211043,1655443,9,25,6,0.2438593923419018,0.65688264095427,168.75069950059606,419.5820833333333,631.0,0.0,214.0,0.0,0.0,0
16482816,3383433,1,25,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
18364950,1501163,10,16,19,0.0533984117256507,0.0042403974307302,12.762220402430533,879.2828356481482,871.0,0.0,79.0,0.0,0.0,0
11779717,8086412,2,2,23,0.0,0.0,0.0,0.0,4153.0,0.0,1.0,0.0,0.0,0
16160321,3705817,12,11,8,0.0853114975,0.005666087979621,0.34124599,869.046400462963,29.0,0.0,13.0,0.0,0.0,0
19159389,706851,2,5,3,0.4716728168915413,0.254530906408171,21.22527676011936,447.3613888888889,65.0,0.0,26.0,0.0,0.0,0
19233930,632173,2,15,14,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0
17215536,2650893,5,8,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
17360258,2506004,5,28,21,0.2091568057916606,0.0326432000857109,8.784585843249749,361.2138888888889,568.0,0.0,14.0,0.0,0.0,0
19132556,733709,2,1,9,0.0,0.0,0.0,0.0,210.0,0.0,138.0,0.0,0.0,0
19211401,654730,2,12,10,0.2826383806644167,0.1087235678769539,41.54784195766926,2233.149282407408,397.0,0.0,94.0,0.0,0.0,0
14120579,5745872,2,1,14,0.3178427561059951,0.1842412792584293,16.209980561405754,804.2587152777778,146.0,0.0,33.0,0.0,0.0,0
18464878,1401391,10,30,18,15.316998188394384,5829.909007955217,934.3368894920576,372.23,13.0,0.0,5.0,0.0,0.0,0
19722128,144242,4,24,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
11433129,8432975,12,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
16615532,3250856,2,12,22,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
19784221,81846,5,2,18,0.0408903675654706,0.0008378091842054,0.8995880864403542,116.10247685185185,24.0,0.0,12.0,0.0,0.0,0
17681545,2184966,7,13,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
18830016,1036391,12,20,22,0.2641328143647383,0.0655540607726976,5.018523472930028,325.9118055555556,74.0,0.0,18.0,0.0,0.0,0
12113687,7752828,3,26,8,0.2172592705960731,0.204874153813467,8.25585228265078,1139.8634722222223,147.0,0.0,19.0,0.0,0.0,0
18022217,1843842,8,29,19,0.0402903268225317,0.0035173542494246,0.6043549023379764,268.0523611111111,13.0,0.0,1.0,0.0,0.0,0
19697886,168198,4,20,16,1.584181035,4.405586689307342,3.16836207,30.213784722222226,33.0,0.0,5.0,0.0,0.0,0
15930953,3935484,11,9,7,0.0385181357565853,0.002105321521801,1.3866528872370725,839.1390625,50.0,0.0,14.0,0.0,0.0,0
12930231,6935829,7,31,0,0.0716966842281488,0.0144508671478311,2.0792038426163155,1131.0377430555557,25.0,0.0,8.0,0.0,0.0,0
15476885,4389289,9,5,8,0.1529215079644403,0.0388527266649612,32.41935968846135,999.0066087962964,701.0,0.0,262.0,0.0,0.0,0
17117645,2748641,4,24,17,0.2382255313513072,0.2207139155516368,15.008208475132358,819.3849652777777,1532.0,0.0,67.0,0.0,0.0,0
18342898,1523472,10,13,17,1.0057051256666667,0.3867383902371167,30.17115377,549.6018518518518,219.0,0.0,201.0,0.0,0.0,0
19519143,346944,3,26,14,1.0811193285094585,4.821123052144423,224.8728203299673,507.0434722222223,1699.0,1.0,456.0,1.0,0.0,0
11844417,8021858,2,12,21,0.0,0.0,0.0,0.0,793.0,577.0,388.0,287.0,0.0,0
19746006,120264,4,27,10,0.2613267812740357,0.0903321033064044,7.317149875673,205.50611111111112,249.0,0.0,16.0,0.0,0.0,0
16771989,3094281,3,6,21,9.501784719263975,45.65044389223902,3059.574679603,961.3823958333334,317.0,0.0,6.0,0.0,0.0,0
19474526,392008,3,20,7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0
19336548,529581,2,29,23,1.0868440388169391,6.958379050914069,242.3662206561774,730.1634606481482,1031.0,0.0,391.0,0.0,0.0,0
19296476,570006,2,24,9,0.3403906403502019,0.2944425443425256,11.232891131556665,153.0048611111111,526.0,0.0,10.0,0.0,0.0,0
19767525,98715,4,30,10,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0
19606735,259398,4,7,22,0.8306637613161815,0.297265687095997,4.983982567897089,34.815,5.0,0.0,1.0,0.0,0.0,0
17605459,2260771,7,2,9,0.1388464792286235,0.0040614961766284,0.2776929584572471,91.41722222222222,52.0,0.0,26.0,0.0,0.0,0
17385407,2480868,6,1,10,0.3692428571428571,0.2964506128571428,2.5847,557.2209259259259,11.0,0.0,9.0,0.0,0.0,0
